rebalance_date,overall_tradable_nav,overall_basket_level,overall_cash_weight,overall_price_coverage_share,n_baskets,total_entries,total_exits,total_turnover,rebalanced_baskets
2024-01-13,139.62197393132095,139.62197393132095,0.7768865510999522,0.9221237250977029,10,0,0,0.0,8
2024-01-14,138.76820398468058,138.76820398468058,0.7772033546504178,0.9221237250977029,10,0,0,0.0,8
2024-01-15,140.33563804056394,140.33563804056394,0.7766463332552692,0.9221237250977029,10,0,0,0.0,8
2024-01-16,140.13861420672384,140.13861420672384,0.7767105967062508,0.9221237250977029,10,0,0,0.0,8
2024-01-17,133.47045200809166,133.47045200809166,0.7803772516659608,0.9221237250977029,10,0,0,0.0,8
2024-01-18,115.32202534154041,115.32202534154041,0.7801336924278365,0.9221237250977029,10,0,0,0.0,8
2024-01-19,114.7966284513002,114.7966284513002,0.7805377012079547,0.9221237250977029,10,0,0,0.0,8
2024-01-20,114.68935991954282,114.68935991954282,0.7806251284950848,0.9221237250977029,10,0,0,0.0,8
2024-01-21,114.75503453082284,114.75503453082284,0.7805713920400262,0.9221237250977029,10,0,0,0.0,8
2024-01-22,115.87961089928456,115.87961089928456,0.7797444518839354,0.9221237250977029,10,0,0,0.0,8
2024-01-23,114.75503453082284,114.75503453082284,0.7065889308828439,0.9610618625488515,10,1,0,0.4749999999999999,8
2024-01-24,115.47720272388393,115.47720272388393,0.7058021465624749,0.9610618625488515,10,0,0,0.015284653465346614,8
2024-01-25,115.60855194644398,115.60855194644398,0.7057148857755378,0.9610618625488515,10,0,0,0.0,7
2024-01-26,113.68339132663708,113.68339132663708,0.7071087632362999,0.9610618625488515,10,0,0,0.014513888888888897,8
2024-01-27,114.68602372551217,114.68602372551217,0.7062757362276411,0.9610618625488515,10,0,0,0.0,7
2024-01-28,118.10110351207364,118.10110351207364,0.7043064306185917,0.9610618625488515,10,0,0,0.0,7
2024-01-29,124.45775724584426,124.45775724584426,0.7023632366057536,0.9610618625488515,10,0,0,0.0,7
2024-01-30,116.91612271718769,116.91612271718769,0.7048747811733405,0.9610618625488515,10,0,0,0.0,7
2024-01-31,119.07527691272738,119.07527691272738,0.7047239726328465,0.9610618625488515,10,2,2,0.3569480731048572,8
2024-02-01,126.85872230399053,126.85872230399053,0.7079639691163855,0.9415927938232772,10,1,2,0.49458662252530017,10
2024-02-02,126.85314842245954,126.85314842245954,0.7082172373363986,0.9415927938232772,10,0,0,0.0,7
2024-02-03,126.98670840191286,126.98670840191286,0.7081784538961731,0.9415927938232772,10,0,0,0.0,7
2024-02-04,127.01264878996065,127.01264878996065,0.7093136754302174,0.9415927938232772,10,0,0,0.0,7
