rebalance_date,domain,basket_code,basket_name,basket_weight,tradable_nav,basket_level,tail_probability_weight_share,proxy_weight_share,slot_coverage_ratio,direction_balance_score,cash_weight,price_coverage_share,entries,exits,turnover,transaction_cost,rebalanced
2022-07-01,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-02,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-03,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-04,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-05,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-06,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-07,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-08,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-09,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-10,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-11,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-12,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-13,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-14,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-15,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-16,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-17,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-18,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
