rebalance_date,domain,basket_code,basket_name,avg_days_to_expiry,expiring_30d_share,expiring_60d_share,certainty_share,turnover,base_cost_bps,turnover_component_bps,expiry_component_bps,certainty_component_bps,estimated_total_cost_bps,estimated_cost_drag_return,cash_weight
2023-02-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,150.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2023-02-01,POLITICAL,ADIT-P4,US Governance,58.0,0.0,1.0,0.0,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2023-03-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,122.0,0.0,0.0,0.0,0.065,18.0,2.275,0.0,0.0,20.275,0.0001317875,0.1643
2023-03-01,GENERAL,ADIT-X3,Major Economy Recession,21.0,1.0,1.0,0.6666666666666666,0.44999999999999996,18.0,15.749999999999998,16.0,16.666666666666664,66.41666666666666,0.0029887499999999992,0.22999999999999998
2023-03-01,POLITICAL,ADIT-P4,US Governance,30.0,1.0,1.0,1.0,0.065,18.0,2.275,16.0,25.0,61.275,0.0003982875,0.1643
2023-04-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,91.0,0.0,0.0,0.0,0.03215000000000001,18.0,1.1252500000000003,0.0,0.0,19.12525,6.148767875000003e-05,0.15707300000000002
2023-04-01,GENERAL,ADIT-X3,Major Economy Recession,31.0,0.0,1.0,0.3333333333333333,0.835,18.0,29.224999999999998,6.0,8.333333333333332,61.55833333333332,0.005140120833333333,0.22999999999999998
2023-05-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,28.0,1.0,1.0,,0.8714635,18.0,30.501222499999997,16.0,0.0,64.5012225,0.005621046111412874,0.22999999999999998
2023-05-01,GENERAL,ADIT-X3,Major Economy Recession,86.0,0.0,0.0,,0.835,18.0,29.224999999999998,0.0,0.0,47.224999999999994,0.0039432875,0.22999999999999998
2023-06-01,GENERAL,ADIT-X3,Major Economy Recession,55.0,0.0,1.0,0.0,0.065,18.0,2.275,6.0,0.0,26.275,0.0001707875,0.1643
